Campaign Number,Name,Start Date-TBD,Start Date,End Date-TBD,End Date,CampaignDuration,Channel,Client,Address,Email,Phone,Contact,Audience,Audience-Age,Demographic,Location,Views,Likes,Clicks,Conversions,Expense,Executive
206,Campaign 206,2023-12-27 0:00:00,2023-12-27,2024-01-02 0:00:00,2024-01-02,6,Facebook,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Male 60+,60+,Seniors>60,LATAM,51935,6124,647,83,48130.34,Brandon Townsend Jr.
207,Campaign 207,2023-03-22 0:00:00,2023-03-22,2023-03-24 0:00:00,2023-03-24,2,Email,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 60+,60+,Seniors>60,UK,78926,7339,3223,841,13466.67,Lauren Riggs
208,Campaign 208,2023-02-15 0:00:00,2023-02-15,2023-03-06 0:00:00,2023-03-06,19,Instagram,Jimenez and Sons,"8451 Walter Fords Apt. 737, South Danielchester, CT 12719-1372",amartinez@oconnell.com,405-164-0984x570,Justin Cole,Female 60+,60+,Seniors>60,Europe,33431,1314,3343,414,49074.59,Jesus Rivera
209,Campaign 209,2023-03-30 0:00:00,2023-03-30,2023-04-24 0:00:00,2023-04-24,25,TikTok,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Adults 40-60,40-60,Middle-Aged Adults<60,Australia,41557,9969,4913,105,24973.43,Brandon Townsend Jr.
210,Campaign 210,2023-04-11 0:00:00,2023-04-11,2023-04-25 0:00:00,2023-04-25,14,Instagram,"Jones, Miranda and Martin","45011 Marc Roads Apt. 548, Johnsonbury, NJ 40892",kristenhoward@yahoo.com,+55(8)0039387927,Christine Barnes,Male 60+,60+,Seniors>60,UK,71686,5027,2118,418,16370.76,Thomas Ryan
211,Campaign 211,2023-09-09 0:00:00,2023-09-09,2023-09-10 0:00:00,2023-09-10,1,YouTube,"Noble, Mcneil and Cooper","36911 Gay Streets Suite 795, Brentmouth, LA 62951-4782",sarahparks@yahoo.com,356-608-6335x0070,Mark Garcia,Male 40-60,40-60,Middle-Aged Adults<60,Europe,93126,8387,397,593,1678.84,Wesley Simon
212,Campaign 212,2023-08-26 0:00:00,2023-08-26,2023-09-19 0:00:00,2023-09-19,24,Facebook,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Female 20-39,20-39,Young-Adults<40,Japan,87849,9115,2807,855,24941.38,Brandon Townsend Jr.
213,Campaign 213,2023-04-26 0:00:00,2023-04-26,2023-05-07 0:00:00,2023-05-07,11,Facebook,Hernandez Inc,"9452 Amber Mills, Lopezville, NV 94038-0838",uhansen@livingston.com,1-519-470-8931x1832,Traci Holden,Male 60+,60+,Seniors>60,Canada,22504,2483,4581,161,46360.11,Melissa Haynes
214,Campaign 214,2023-02-18 0:00:00,2023-02-18,2023-03-03 0:00:00,2023-03-03,13,TikTok,Lewis-Martinez,"37059 Bates Prairie Suite 432, Port Robertmouth, MN 28374",joshua06@king.com,363.836.3647x5385,Angela Anderson,Teens 13-19,13-19,Teens<20,Australia,19514,5399,2864,114,25885.48,Aaron Faulkner
215,Campaign 215,2023-09-05 0:00:00,2023-09-05,2023-09-14 0:00:00,2023-09-14,9,TikTok,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Male 40-60,40-60,Middle-Aged Adults<60,Europe,87046,2283,3926,574,27420.15,Wesley Simon
216,Campaign 216,2023-01-12 0:00:00,2023-01-12,2023-01-30 0:00:00,2023-01-30,18,Facebook,Vaughan Group,"PSC 0937, Box 0339, APO AP 98521",baldwinhailey@klein-fitzgerald.com,1-349-058-6674x35806,Ashley Carter,Female 60+,60+,Seniors>60,UK,50518,8988,3618,742,30734.25,Jesus Rivera
217,Campaign 217,2023-07-13 0:00:00,2023-07-13,2023-07-16 0:00:00,2023-07-16,3,Email,Griffin Inc,"Unit 3822 Box 8338, DPO AE 21031-0227",dixonamber@hotmail.com,(880)002-0608x56308,Theodore Murphy,Female 60+,60+,Seniors>60,India,96158,3966,4234,988,37725.4,Brandon Townsend Jr.
218,Campaign 218,2023-05-11 0:00:00,2023-05-11,2023-05-15 0:00:00,2023-05-15,4,TikTok,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Adults 20-39,20-39,Young-Adults<40,Japan,38018,494,3583,409,29241.84,Thomas Ryan
219,Campaign 219,2023-03-24 0:00:00,2023-03-24,2023-04-12 0:00:00,2023-04-12,19,YouTube,Ramirez-Wilson,"6802 Scott Ways, Jasonbury, NM 94299-7873",robertellis@simpson-gutierrez.com,(414)086-9895x8325,Christine Nguyen,Seniors 60+,60+,Seniors>60,USA,93611,4481,3879,145,28487.5,Becky Brown
220,Campaign 220,2023-07-27 0:00:00,2023-07-27,2023-07-28 0:00:00,2023-07-28,1,TikTok,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Seniors 60+,60+,Seniors>60,UK,48884,8732,2697,733,13783.31,Wesley Simon
221,Campaign 221,2023-05-03 0:00:00,2023-05-03,2023-05-17 0:00:00,2023-05-17,14,TikTok,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Adults 20-39,20-39,Young-Adults<40,Japan,26525,654,3983,470,2085.65,Thomas Ryan
222,Campaign 222,2023-09-21 0:00:00,2023-09-21,2023-10-09 0:00:00,2023-10-09,18,Email,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Adults 40-60,40-60,Middle-Aged Adults<60,UK,43919,3920,2321,874,39934.57,Jesus Rivera
223,Campaign 223,2023-11-10 0:00:00,2023-11-10,2023-11-18 0:00:00,2023-11-18,8,YouTube,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Male 60+,60+,Seniors>60,India,76705,8816,433,191,24797.91,Thomas Ryan
224,Campaign 224,2023-01-11 0:00:00,2023-01-11,2023-01-30 0:00:00,2023-01-30,19,Email,"Ruiz, Cox and Meyer","5058 Frank Locks, Blackmouth, MI 07896",vjohnson@yahoo.com,+48(7)5323908871,Anne Davis,Male 60+,60+,Seniors>60,LATAM,31051,4678,511,619,3159.33,Aaron Faulkner
225,Campaign 225,2023-05-19 0:00:00,2023-05-19,2023-06-15 0:00:00,2023-06-15,27,Email,"Hunt, Woods and Saunders","48531 Garcia Walk, Gonzalesville, WY 31844",rramsey@warren.com,1-628-025-3550x66010,April Brewer,Male 20-39,20-39,Young-Adults<40,UK,20061,5171,3913,724,44366.1,Melissa Haynes
226,Campaign 226,2023-09-29 0:00:00,2023-09-29,2023-10-23 0:00:00,2023-10-23,24,Facebook,Reed-Johnson,"01161 Mcintyre Burg, Robinsonport, CO 51964",stacy50@bates-martin.com,152-232-1350x6854,John Terrell,Female 20-39,20-39,Young-Adults<40,Canada,93816,8182,735,570,22458.34,Becky Brown
227,Campaign 227,2023-06-30 0:00:00,2023-06-30,2023-07-23 0:00:00,2023-07-23,23,Email,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Seniors 60+,60+,Seniors>60,UK,33137,6620,150,558,24859.4,Brandon Townsend Jr.
228,Campaign 228,2023-09-07 0:00:00,2023-09-07,2023-09-20 0:00:00,2023-09-20,13,Facebook,"Brown, Lawrence and Collins","069 Jeffrey Neck, North Jeffreyberg, VI 70669-3291",tracyfields@evans.com,1-351-320-8584x4902,Thomas Fleming,Male 40-60,40-60,Middle-Aged Adults<60,USA,58386,5027,3557,309,43293.8,Michael Camacho
229,Campaign 229,2023-06-02 0:00:00,2023-06-02,2023-06-16 0:00:00,2023-06-16,14,TikTok,Gray Ltd,"Unit 4555 Box 7398, DPO AE 23911-7290",owenmelinda@yahoo.com,1728597837,Mark Long,Adults 40-60,40-60,Middle-Aged Adults<60,UK,16137,9136,1614,210,24679.21,Jesus Rivera
230,Campaign 230,2023-03-20 0:00:00,2023-03-20,2023-03-27 0:00:00,2023-03-27,7,YouTube,"Hernandez, Keller and Berry","Unit 2637 Box 1240, DPO AE 48178",mary90@yahoo.com,(203)315-6167,Kristin Carson,Male 20-39,20-39,Young-Adults<40,Europe,75241,517,4189,469,18198.94,Thomas Ryan
231,Campaign 231,2023-05-18 0:00:00,2023-05-18,2023-06-06 0:00:00,2023-06-06,19,Email,Mitchell-Rojas,"Unit 7421 Box 5134, DPO AE 60814",johnathan43@hotmail.com,1-211-588-6353,Benjamin Anthony,Male 60+,60+,Seniors>60,Japan,75825,3926,2033,258,24846.22,Thomas Ryan
232,Campaign 232,2023-01-19 0:00:00,2023-01-19,2023-02-16 0:00:00,2023-02-16,28,Facebook,"Ramos, Gomez and Garcia","PSC 8675, Box 2798, APO AA 82949-7770",huntdavid@orr.info,+93(4)8330793693,Eric Harrison,Female 20-39,20-39,Young-Adults<40,Australia,60294,9400,3909,839,9326.99,Kyle Serrano
233,Campaign 233,2023-08-18 0:00:00,2023-08-18,2023-08-26 0:00:00,2023-08-26,8,Email,Schneider PLC,"872 Davila Ville Apt. 985, Millerland, GA 42888",beasleycraig@yahoo.com,143.069.3791,Stephen Murphy,Adults 20-39,20-39,Young-Adults<40,Europe,53223,9372,4037,443,20408.5,Lauren Riggs
234,Campaign 234,2023-05-22 0:00:00,2023-05-22,2023-06-20 0:00:00,2023-06-20,29,Facebook,"Arnold, Smith and Ward","Unit 2316 Box 4709, DPO AA 90463-5066",michelle93@pineda-small.com,+64(0)4886159251,Karen Bryan,Male 60+,60+,Seniors>60,Europe,70305,4081,2324,426,7540.35,Jesus Rivera
235,Campaign 235,2023-05-04 0:00:00,2023-05-04,2023-05-20 0:00:00,2023-05-20,16,YouTube,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Male 40-60,40-60,Middle-Aged Adults<60,Europe,91895,5610,913,300,38428.43,Thomas Ryan
236,Campaign 236,2023-03-10 0:00:00,2023-03-10,2023-04-05 0:00:00,2023-04-05,26,Instagram,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Female 60+,60+,Seniors>60,USA,41426,6642,2018,598,23287.94,Thomas Ryan
237,Campaign 237,2023-04-12 0:00:00,2023-04-12,2023-04-20 0:00:00,2023-04-20,8,TikTok,Wall-Cruz,"7470 Harris Roads Suite 137, Brookefort, MP 32507",davidponce@turner-copeland.com,539.823.7269x7824,Robert Cruz,Female 20-39,20-39,Young-Adults<40,India,1182,8784,4893,631,28795.37,Becky Brown
238,Campaign 238,2023-11-24 0:00:00,2023-11-24,2023-12-19 0:00:00,2023-12-19,25,Instagram,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Adults 20-39,20-39,Young-Adults<40,Japan,7341,4379,2347,815,32122.01,Thomas Ryan
239,Campaign 239,2023-08-08 0:00:00,2023-08-08,2023-08-17 0:00:00,2023-08-17,9,Instagram,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 60+,60+,Seniors>60,UK,49227,5760,1189,669,3663.51,Lauren Riggs
240,Campaign 240,2023-10-01 0:00:00,2023-10-01,2023-10-07 0:00:00,2023-10-07,6,TikTok,"Arnold, Smith and Ward","Unit 2316 Box 4709, DPO AA 90463-5066",michelle93@pineda-small.com,+64(0)4886159251,Karen Bryan,Teens 13-19,13-19,Teens<20,Japan,18306,2551,3790,192,40526.03,Jesus Rivera
241,Campaign 241,2023-07-02 0:00:00,2023-07-02,2023-07-28 0:00:00,2023-07-28,26,Instagram,"Bradley, Jackson and Miller","190 Bradley Mill Suite 940, Craigbury, MO 18832",hansonpatrick@hunt.com,+35(5)1561435486,Dr. David Glass Jr.,Teens 13-19,13-19,Teens<20,UK,39779,301,2969,778,25050.42,Melissa Haynes
242,Campaign 242,2023-03-24 0:00:00,2023-03-24,2023-04-21 0:00:00,2023-04-21,28,YouTube,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Female 20-39,20-39,Young-Adults<40,India,49274,7642,864,546,45462.95,Jesus Rivera
243,Campaign 243,2023-04-08 0:00:00,2023-04-08,2023-04-25 0:00:00,2023-04-25,17,TikTok,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Male 60+,60+,Seniors>60,Canada,57194,4740,1387,426,22195.76,Melissa Haynes
244,Campaign 244,2023-11-25 0:00:00,2023-11-25,2023-12-08 0:00:00,2023-12-08,13,Email,"Salinas, Rodriguez and Bowman","04604 Davidson Underpass Apt. 439, Lake Tiffany, DC 35416",gutierrezjames@yahoo.com,1-554-948-6086x0863,Laura Caldwell,Male 20-39,20-39,Young-Adults<40,UK,45050,785,3276,955,14095.29,Thomas Ryan
245,Campaign 245,2023-12-01 0:00:00,2023-12-01,2023-12-29 0:00:00,2023-12-29,28,TikTok,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Male 40-60,40-60,Middle-Aged Adults<60,LATAM,18222,2139,2232,546,2704.04,Wesley Simon
246,Campaign 246,2023-11-24 0:00:00,2023-11-24,2023-12-07 0:00:00,2023-12-07,13,Instagram,Vaughan Group,"PSC 0937, Box 0339, APO AP 98521",baldwinhailey@klein-fitzgerald.com,1-349-058-6674x35806,Ashley Carter,Adults 20-39,20-39,Young-Adults<40,India,41919,5266,2162,60,48198.53,Jesus Rivera
247,Campaign 247,2023-07-05 0:00:00,2023-07-05,2023-07-17 0:00:00,2023-07-17,12,TikTok,"Hernandez, Keller and Berry","Unit 2637 Box 1240, DPO AE 48178",mary90@yahoo.com,(203)315-6167,Kristin Carson,Female 40-60,40-60,Middle-Aged Adults<60,India,49487,5232,290,503,31751.24,Thomas Ryan
248,Campaign 248,2023-11-28 0:00:00,2023-11-28,2023-12-03 0:00:00,2023-12-03,5,TikTok,"Russell, Wilson and Rogers","27907 Deborah Hill Suite 235, Abigailbury, CO 58408",michael78@yahoo.com,(995)213-6315,Michael Howard,Female 60+,60+,Seniors>60,Europe,48676,6957,1404,67,48003.68,Thomas Ryan
249,Campaign 249,2023-10-25 0:00:00,2023-10-25,2023-11-08 0:00:00,2023-11-08,14,Facebook,"Cohen, Williams and Hess","93243 Lee Loop Apt. 832, North Jonathanland, MP 43605-6685",shawn39@gmail.com,314.858.5509x23447,Mr. Nicholas Ramirez,Female 60+,60+,Seniors>60,USA,3552,2267,2193,776,5731.82,Jesus Rivera
250,Campaign 250,2023-07-02 0:00:00,2023-07-02,2023-07-10 0:00:00,2023-07-10,8,YouTube,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Female 20-39,20-39,Young-Adults<40,USA,6999,5059,1520,870,15337.51,Wesley Simon
251,Campaign 251,2023-05-23 0:00:00,2023-05-23,2023-05-24 0:00:00,2023-05-24,1,Facebook,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 40-60,40-60,Middle-Aged Adults<60,Japan,50597,6044,4848,829,47775.13,Kyle Serrano
252,Campaign 252,2023-02-03 0:00:00,2023-02-03,2023-02-15 0:00:00,2023-02-15,12,Email,Jones LLC,"89103 Jennings Cape Suite 740, South Dianafort, FL 68504",norrisjames@pearson-burton.biz,(363)957-0616x7906,Danielle Hernandez,Female 20-39,20-39,Young-Adults<40,India,44685,7146,2472,195,34858.39,Aaron Faulkner
253,Campaign 253,2023-03-30 0:00:00,2023-03-30,2023-04-23 0:00:00,2023-04-23,24,YouTube,Harmon Inc,"3532 Carla Spurs Suite 631, East Susanside, VA 63110-6508",steven77@miller.com,1-293-472-4144x72086,Heidi Black,Teens 13-19,13-19,Teens<20,Canada,69497,4449,2161,661,33824.73,Kyle Serrano
254,Campaign 254,2023-12-28 0:00:00,2023-12-28,2024-01-08 0:00:00,2024-01-08,11,YouTube,Melton-Smith,"03793 Jacobs Branch, West Max, MA 54633-3659",mercertimothy@huff.com,(729)575-8232,Patrick Abbott,Female 40-60,40-60,Middle-Aged Adults<60,UK,42913,8735,2052,156,43875.02,Lauren Riggs
255,Campaign 255,2023-11-29 0:00:00,2023-11-29,2023-12-17 0:00:00,2023-12-17,18,Email,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Adults 20-39,20-39,Young-Adults<40,LATAM,92432,3803,2670,899,2443.89,Lauren Riggs
256,Campaign 256,2023-02-26 0:00:00,2023-02-26,2023-03-21 0:00:00,2023-03-21,23,TikTok,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Female 20-39,20-39,Young-Adults<40,USA,29162,3113,405,884,42149.82,Melissa Haynes
257,Campaign 257,2023-06-19 0:00:00,2023-06-19,2023-07-08 0:00:00,2023-07-08,19,Facebook,Hughes-Sullivan,"5874 Guerra Courts Suite 368, South Codyhaven, OR 93465",williamsnathaniel@yahoo.com,415-860-7532,Roy Obrien,Adults 20-39,20-39,Young-Adults<40,UK,70893,1460,108,918,12450.96,Brandon Townsend Jr.
258,Campaign 258,2023-12-08 0:00:00,2023-12-08,2023-12-22 0:00:00,2023-12-22,14,Facebook,"Rowe, Morse and Morgan","247 Young Spur, North Jacobview, WI 24275",hstafford@yahoo.com,(934)411-1363,Destiny Atkins,Adults 40-60,40-60,Middle-Aged Adults<60,Canada,10409,2284,698,578,18122.36,Becky Brown
259,Campaign 259,2023-11-25 0:00:00,2023-11-25,2023-12-14 0:00:00,2023-12-14,19,TikTok,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Seniors 60+,60+,Seniors>60,LATAM,64277,2793,2892,211,25246.47,Lauren Riggs
260,Campaign 260,2023-03-19 0:00:00,2023-03-19,2023-04-05 0:00:00,2023-04-05,17,TikTok,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Male 60+,60+,Seniors>60,USA,52085,5853,2313,83,9598.66,Brandon Townsend Jr.
261,Campaign 261,2023-02-17 0:00:00,2023-02-17,2023-02-21 0:00:00,2023-02-21,4,Email,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Male 20-39,20-39,Young-Adults<40,Europe,11318,7532,419,227,46395.27,Brandon Townsend Jr.
262,Campaign 262,2023-01-26 0:00:00,2023-01-26,2023-02-04 0:00:00,2023-02-04,9,YouTube,Weaver-Hoover,"050 Andrews Green, North Renee, VT 22014-1131",jacqueline32@dominguez.biz,574-189-4981x166,Kathy Mahoney,Female 40-60,40-60,Middle-Aged Adults<60,Australia,38312,9046,1095,383,19841.55,Brandon Townsend Jr.
263,Campaign 263,2023-05-18 0:00:00,2023-05-18,2023-06-05 0:00:00,2023-06-05,18,Email,Riley PLC,"699 Anderson Glen, Parkerside, AZ 15616-1374",jennifer09@york.org,653.689.1510,Gary Reed,Seniors 60+,60+,Seniors>60,Europe,29780,7666,1319,288,19213.68,Kyle Serrano
264,Campaign 264,2023-10-06 0:00:00,2023-10-06,2023-11-02 0:00:00,2023-11-02,27,Facebook,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Adults 20-39,20-39,Young-Adults<40,Canada,16680,1429,4901,785,25834.85,Wesley Simon
265,Campaign 265,2023-10-02 0:00:00,2023-10-02,2023-10-15 0:00:00,2023-10-15,13,YouTube,Pearson-Shah,"5117 Suzanne Branch, Barnesmouth, VA 53846",anthony54@perez.com,644.194.6281,Shannon Martinez,Male 20-39,20-39,Young-Adults<40,Japan,78790,3047,4540,154,35104.71,Jesus Rivera
266,Campaign 266,2023-12-15 0:00:00,2023-12-15,2024-01-01 0:00:00,2024-01-01,17,TikTok,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Teens 13-19,13-19,Teens<20,Europe,47138,5670,753,209,8919.17,Wesley Simon
267,Campaign 267,2023-06-11 0:00:00,2023-06-11,2023-06-12 0:00:00,2023-06-12,1,Instagram,"Jones, Miranda and Martin","45011 Marc Roads Apt. 548, Johnsonbury, NJ 40892",kristenhoward@yahoo.com,+55(8)0039387927,Christine Barnes,Male 40-60,40-60,Middle-Aged Adults<60,USA,46229,388,3594,65,9698.99,Thomas Ryan
268,Campaign 268,2023-12-24 0:00:00,2023-12-24,2024-01-04 0:00:00,2024-01-04,11,Facebook,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 20-39,20-39,Young-Adults<40,Japan,55356,9752,3522,9,41521.94,Lauren Riggs
269,Campaign 269,2023-01-18 0:00:00,2023-01-18,2023-01-28 0:00:00,2023-01-28,10,YouTube,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Female 20-39,20-39,Young-Adults<40,USA,49440,7366,4549,115,37006.86,Thomas Ryan
270,Campaign 270,2023-06-22 0:00:00,2023-06-22,2023-07-11 0:00:00,2023-07-11,19,Instagram,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Seniors 60+,60+,Seniors>60,Europe,54282,8645,4654,945,47381.95,Brandon Townsend Jr.
271,Campaign 271,2023-06-02 0:00:00,2023-06-02,2023-06-30 0:00:00,2023-06-30,28,TikTok,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Adults 40-60,40-60,Middle-Aged Adults<60,Japan,60243,1886,1459,479,6350.77,Wesley Simon
272,Campaign 272,2023-05-22 0:00:00,2023-05-22,2023-06-11 0:00:00,2023-06-11,20,Facebook,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 20-39,20-39,Young-Adults<40,Japan,44967,7515,4479,576,49165.84,Kyle Serrano
273,Campaign 273,2023-07-28 0:00:00,2023-07-28,2023-08-08 0:00:00,2023-08-08,11,TikTok,Jackson Inc,"96299 Miller Spur, Jensenfurt, CA 97794-3156",jeremy09@yahoo.com,557-670-7467x238,Karen Rivers,Female 60+,60+,Seniors>60,India,40872,3804,4711,553,18294.51,Thomas Ryan
274,Campaign 274,2023-04-19 0:00:00,2023-04-19,2023-05-14 0:00:00,2023-05-14,25,YouTube,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Male 20-39,20-39,Young-Adults<40,India,19926,1565,1665,502,33168.43,Brandon Townsend Jr.
275,Campaign 275,2023-01-11 0:00:00,2023-01-11,2023-02-02 0:00:00,2023-02-02,22,TikTok,"Ramos, Gomez and Garcia","PSC 8675, Box 2798, APO AA 82949-7770",huntdavid@orr.info,+93(4)8330793693,Eric Harrison,Male 60+,60+,Seniors>60,India,9413,601,433,393,13779.68,Kyle Serrano
276,Campaign 276,2023-04-29 0:00:00,2023-04-29,2023-05-12 0:00:00,2023-05-12,13,Instagram,Lewis-Martinez,"37059 Bates Prairie Suite 432, Port Robertmouth, MN 28374",joshua06@king.com,363.836.3647x5385,Angela Anderson,Female 20-39,20-39,Young-Adults<40,Europe,86592,176,622,133,42298.12,Aaron Faulkner
277,Campaign 277,2023-03-06 0:00:00,2023-03-06,2023-03-25 0:00:00,2023-03-25,19,Instagram,Wade PLC,"3571 Harvey Centers, Ronaldfurt, NY 35589-6805",nhall@hotmail.com,(330)526-4186x670,Lacey Crane,Male 60+,60+,Seniors>60,UK,88603,3637,4448,436,1521.88,Lauren Riggs
278,Campaign 278,2023-06-25 0:00:00,2023-06-25,2023-07-05 0:00:00,2023-07-05,10,Email,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Adults 40-60,40-60,Middle-Aged Adults<60,USA,7433,5626,2456,427,35126.7,Wesley Simon
279,Campaign 279,2023-05-29 0:00:00,2023-05-29,2023-05-30 0:00:00,2023-05-30,1,YouTube,Pearson-Shah,"5117 Suzanne Branch, Barnesmouth, VA 53846",anthony54@perez.com,644.194.6281,Shannon Martinez,Teens 13-19,13-19,Teens<20,Australia,49501,7596,1874,243,23405.52,Jesus Rivera
280,Campaign 280,2023-11-30 0:00:00,2023-11-30,2023-12-27 0:00:00,2023-12-27,27,Email,Walter Ltd,"591 Gallegos Shore, East Jennifer, VT 67675",gravessusan@gonzalez.com,4034303913,Sarah Warren,Female 40-60,40-60,Middle-Aged Adults<60,LATAM,29954,5314,2521,376,32658.57,Aaron Faulkner
281,Campaign 281,2023-02-28 0:00:00,2023-02-28,2023-03-29 0:00:00,2023-03-29,29,Facebook,Reed-Johnson,"01161 Mcintyre Burg, Robinsonport, CO 51964",stacy50@bates-martin.com,152-232-1350x6854,John Terrell,Male 60+,60+,Seniors>60,Australia,50133,2819,2190,788,5045.36,Becky Brown
282,Campaign 282,2023-06-25 0:00:00,2023-06-25,2023-07-18 0:00:00,2023-07-18,23,Facebook,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Female 60+,60+,Seniors>60,India,60550,896,4112,400,25131.41,Brandon Townsend Jr.
283,Campaign 283,2023-12-08 0:00:00,2023-12-08,2023-12-19 0:00:00,2023-12-19,11,Email,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Female 20-39,20-39,Young-Adults<40,USA,55597,183,2812,112,36218.33,Kyle Serrano
284,Campaign 284,2023-05-24 0:00:00,2023-05-24,2023-06-17 0:00:00,2023-06-17,24,YouTube,Cooper-Alexander,"01438 Kristin Fords Apt. 626, Port Paula, WA 20979-6415",gchavez@yang.com,(284)401-5003,Alexandria Hansen,Adults 40-60,40-60,Middle-Aged Adults<60,UK,1635,6010,2903,655,22870.55,Thomas Ryan
285,Campaign 285,2023-07-19 0:00:00,2023-07-19,2023-08-09 0:00:00,2023-08-09,21,Instagram,Jimenez and Sons,"8451 Walter Fords Apt. 737, South Danielchester, CT 12719-1372",amartinez@oconnell.com,405-164-0984x570,Justin Cole,Female 60+,60+,Seniors>60,UK,47051,4195,3301,638,7636.7,Jesus Rivera
