Campaign Number,Name,Start Date,End Date,Channel,Client,Address,Email,Phone,Contact,Audience,Location,Views,Likes,Clicks,Conversions, Expense ,Executive,CampaignType,Total Sales
191,Campaign 191,2023-06-22 0:00:00,2023-06-24 0:00:00,TikTok,Drake-Vasquez,"8980 Cox Park, South Robert, NV 66099-6728",tylersheila@hicks.com,123-800-5701,Teresa Doyle,Female 60+,USA,93678,7274,3652,649,"$18,128.96",Michael Camacho,Sales,"$28,651.18"
192,Campaign 192,2023-07-09 0:00:00,2023-07-21 0:00:00,Email,"Green, Lloyd and Ball","30284 Villarreal Passage Apt. 698, Brownshire, NV 89609-0041",wrightlucas@yahoo.com,562-293-0799x4586,Shelly Stafford,Male 60+,Japan,89773,4425,486,322,"$29,353.14",Jesus Rivera,Sign Up,$0.00
193,Campaign 193,2023-06-23 0:00:00,2023-07-21 0:00:00,TikTok,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Teens 13-19,LATAM,47361,3617,2746,464,"$32,207.95",Jesus Rivera,Sales,"$44,372.72"
194,Campaign 194,2023-12-28 0:00:00,2024-01-16 0:00:00,YouTube,"Miller, Bryant and Burnett","1044 Kennedy Prairie Apt. 186, Jamiemouth, NE 12690-6573",bjohnson@martin-williams.com,958-840-3830,Christopher Clark,Adults 40-60,Canada,17339,8987,926,832,"$38,020.63",Aaron Faulkner,Sales,"$89,150.46"
195,Campaign 195,2023-02-06 0:00:00,2023-03-01 0:00:00,Email,Schneider PLC,"872 Davila Ville Apt. 985, Millerland, GA 42888",beasleycraig@yahoo.com,143.069.3791,Stephen Murphy,Female 40-60,USA,28308,1037,4025,931,"$15,802.31",Lauren Riggs,Sales,"$40,633.98"
196,Campaign 196,2023-05-20 0:00:00,2023-05-22 0:00:00,Instagram,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 40-60,UK,63539,9009,2029,761,"$46,852.46",Lauren Riggs,Sales,"$39,067.13"
197,Campaign 197,2023-01-11 0:00:00,2023-01-16 0:00:00,YouTube,Edwards-Hoover,"86879 Carol Cove, North Evanton, MT 25565",bryantmichelle@rocha.com,941.072.1871x24451,Erika Owens,Female 18-40,LATAM,26063,6230,1728,397,"$32,269.17",Melissa Haynes,Sales,"$23,999.97"
198,Campaign 198,2023-04-02 0:00:00,2023-04-05 0:00:00,Facebook,Ramirez-Wilson,"6802 Scott Ways, Jasonbury, NM 94299-7873",robertellis@simpson-gutierrez.com,(414)086-9895x8325,Christine Nguyen,Seniors 60+,Australia,2963,9069,618,878,"$4,975.75",Becky Brown,Sign Up,$0.00
199,Campaign 199,2023-08-03 0:00:00,2023-08-23 0:00:00,TikTok,Phillips-Lewis,"152 Munoz Spur, Richardbury, NE 64820-6682",ssullivan@yahoo.com,1-632-762-1401x4577,April Williams,Female 40-60,India,5038,4136,1650,963,"$25,502.58",Aaron Faulkner,Sales,"$60,398.33"
200,Campaign 200,2023-10-03 0:00:00,2023-10-09 0:00:00,TikTok,Reed-Johnson,"01161 Mcintyre Burg, Robinsonport, CO 51964",stacy50@bates-martin.com,152-232-1350x6854,John Terrell,Teens 13-19,Japan,17385,276,4453,469,"$25,380.81",Becky Brown,Sign Up,$0.00
201,Campaign 201,2023-09-10 0:00:00,2023-09-27 0:00:00,YouTube,Jimenez and Sons,"8451 Walter Fords Apt. 737, South Danielchester, CT 12719-1372",amartinez@oconnell.com,405-164-0984x570,Justin Cole,Adults 40-60,LATAM,79413,376,1563,655,"$17,299.33",Jesus Rivera,Sales,"$35,247.21"
202,Campaign 202,2023-07-10 0:00:00,2023-08-08 0:00:00,TikTok,Lewis-Martinez,"37059 Bates Prairie Suite 432, Port Robertmouth, MN 28374",joshua06@king.com,363.836.3647x5385,Angela Anderson,Female 18-40,USA,90732,1599,2523,417,"$19,551.47",Aaron Faulkner,Sales,"$50,109.14"
203,Campaign 203,2023-04-09 0:00:00,2023-05-08 0:00:00,YouTube,Melton-Smith,"03793 Jacobs Branch, West Max, MA 54633-3659",mercertimothy@huff.com,(729)575-8232,Patrick Abbott,Female 40-60,LATAM,52284,1868,2888,739,$834.04,Lauren Riggs,Sign Up,$0.00
204,Campaign 204,2023-02-01 0:00:00,2023-02-20 0:00:00,TikTok,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Female 40-60,USA,84652,6597,1061,970,"$44,625.09",Brandon Townsend Jr.,Sales,"$25,485.48"
205,Campaign 205,2023-01-20 0:00:00,2023-01-24 0:00:00,YouTube,Schneider PLC,"872 Davila Ville Apt. 985, Millerland, GA 42888",beasleycraig@yahoo.com,143.069.3791,Stephen Murphy,Adults 40-60,UK,95698,8011,1371,603,"$41,473.06",Lauren Riggs,Sales,"$75,842.41"
206,Campaign 206,2023-12-27 0:00:00,2024-01-02 0:00:00,Facebook,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Male 60+,LATAM,51935,6124,647,83,"$48,130.34",Brandon Townsend Jr.,Sales,"$23,153.00"
207,Campaign 207,2023-03-22 0:00:00,2023-03-24 0:00:00,Email,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 60+,UK,78926,7339,3223,841,"$13,466.67",Lauren Riggs,Sales,"$64,645.06"
208,Campaign 208,2023-02-15 0:00:00,2023-03-06 0:00:00,Instagram,Jimenez and Sons,"8451 Walter Fords Apt. 737, South Danielchester, CT 12719-1372",amartinez@oconnell.com,405-164-0984x570,Justin Cole,Female 60+,Europe,33431,1314,3343,414,"$49,074.59",Jesus Rivera,Sales,"$48,805.02"
209,Campaign 209,2023-03-30 0:00:00,2023-04-24 0:00:00,TikTok,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Adults 40-60,Australia,41557,9969,4913,105,"$24,973.43",Brandon Townsend Jr.,Sales,"$78,132.02"
210,Campaign 210,2023-04-11 0:00:00,2023-04-25 0:00:00,Instagram,"Jones, Miranda and Martin","45011 Marc Roads Apt. 548, Johnsonbury, NJ 40892",kristenhoward@yahoo.com,#ERROR!,Christine Barnes,Male 60+,UK,71686,5027,2118,418,"$16,370.76",Thomas Ryan,Sign Up,$0.00
211,Campaign 211,2023-09-09 0:00:00,2023-09-10 0:00:00,YouTube,"Noble, Mcneil and Cooper","36911 Gay Streets Suite 795, Brentmouth, LA 62951-4782",sarahparks@yahoo.com,356-608-6335x0070,Mark Garcia,Male 40-60,Europe,93126,8387,397,593,"$1,678.84",Wesley Simon,Sales,"$39,619.23"
212,Campaign 212,2023-08-26 0:00:00,2023-09-19 0:00:00,Facebook,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Female 18-40,Japan,87849,9115,2807,855,"$24,941.38",Brandon Townsend Jr.,Sales,"$74,813.35"
213,Campaign 213,2023-04-26 0:00:00,2023-05-07 0:00:00,Facebook,Hernandez Inc,"9452 Amber Mills, Lopezville, NV 94038-0838",uhansen@livingston.com,1-519-470-8931x1832,Traci Holden,Male 60+,Canada,22504,2483,4581,161,"$46,360.11",Melissa Haynes,Sales,"$48,054.63"
214,Campaign 214,2023-02-18 0:00:00,2023-03-03 0:00:00,TikTok,Lewis-Martinez,"37059 Bates Prairie Suite 432, Port Robertmouth, MN 28374",joshua06@king.com,363.836.3647x5385,Angela Anderson,Teens 13-19,Australia,19514,5399,2864,114,"$25,885.48",Aaron Faulkner,Sign Up,$0.00
215,Campaign 215,2023-09-05 0:00:00,2023-09-14 0:00:00,TikTok,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Male 40-60,Europe,87046,2283,3926,574,"$27,420.15",Wesley Simon,Sales,"$59,999.75"
216,Campaign 216,2023-01-12 0:00:00,2023-01-30 0:00:00,Facebook,Vaughan Group,"PSC 0937, Box 0339, APO AP 98521",baldwinhailey@klein-fitzgerald.com,1-349-058-6674x35806,Ashley Carter,Female 60+,UK,50518,8988,3618,742,"$30,734.25",Jesus Rivera,Sales,"$52,316.05"
217,Campaign 217,2023-07-13 0:00:00,2023-07-16 0:00:00,Email,Griffin Inc,"Unit 3822 Box 8338, DPO AE 21031-0227",dixonamber@hotmail.com,(880)002-0608x56308,Theodore Murphy,Female 60+,India,96158,3966,4234,988,"$37,725.40",Brandon Townsend Jr.,Sign Up,$0.00
218,Campaign 218,2023-05-11 0:00:00,2023-05-15 0:00:00,TikTok,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Adults 18-40,Japan,38018,494,3583,409,"$29,241.84",Thomas Ryan,Sales,"$82,233.85"
219,Campaign 219,2023-03-24 0:00:00,2023-04-12 0:00:00,YouTube,Ramirez-Wilson,"6802 Scott Ways, Jasonbury, NM 94299-7873",robertellis@simpson-gutierrez.com,(414)086-9895x8325,Christine Nguyen,Seniors 60+,USA,93611,4481,3879,145,"$28,487.50",Becky Brown,Sign Up,$0.00
220,Campaign 220,2023-07-27 0:00:00,2023-07-28 0:00:00,TikTok,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Seniors 60+,UK,48884,8732,2697,733,"$13,783.31",Wesley Simon,Sales,"$48,258.82"
221,Campaign 221,2023-05-03 0:00:00,2023-05-17 0:00:00,TikTok,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Adults 18-40,Japan,26525,654,3983,470,"$2,085.65",Thomas Ryan,Sales,"$50,238.41"
222,Campaign 222,2023-09-21 0:00:00,2023-10-09 0:00:00,Email,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Adults 40-60,UK,43919,3920,2321,874,"$39,934.57",Jesus Rivera,Sign Up,$0.00
223,Campaign 223,2023-11-10 0:00:00,2023-11-18 0:00:00,YouTube,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Male 60+,India,76705,8816,433,191,"$24,797.91",Thomas Ryan,Sales,"$84,642.66"
224,Campaign 224,2023-01-11 0:00:00,2023-01-30 0:00:00,Email,"Ruiz, Cox and Meyer","5058 Frank Locks, Blackmouth, MI 07896",vjohnson@yahoo.com,#ERROR!,Anne Davis,Male 60+,LATAM,31051,4678,511,619,"$3,159.33",Aaron Faulkner,Sign Up,$0.00
225,Campaign 225,2023-05-19 0:00:00,2023-06-15 0:00:00,Email,"Hunt, Woods and Saunders","48531 Garcia Walk, Gonzalesville, WY 31844",rramsey@warren.com,1-628-025-3550x66010,April Brewer,Male 18-40,UK,20061,5171,3913,724,"$44,366.10",Melissa Haynes,Sales,"$74,727.34"
226,Campaign 226,2023-09-29 0:00:00,2023-10-23 0:00:00,Facebook,Reed-Johnson,"01161 Mcintyre Burg, Robinsonport, CO 51964",stacy50@bates-martin.com,152-232-1350x6854,John Terrell,Female 18-40,Canada,93816,8182,735,570,"$22,458.34",Becky Brown,Sign Up,$0.00
227,Campaign 227,2023-06-30 0:00:00,2023-07-23 0:00:00,Email,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Seniors 60+,UK,33137,6620,150,558,"$24,859.40",Brandon Townsend Jr.,Sales,"$34,485.80"
228,Campaign 228,2023-09-07 0:00:00,2023-09-20 0:00:00,Facebook,"Brown, Lawrence and Collins","069 Jeffrey Neck, North Jeffreyberg, VI 70669-3291",tracyfields@evans.com,1-351-320-8584x4902,Thomas Fleming,Male 40-60,USA,58386,5027,3557,309,"$43,293.80",Michael Camacho,Sales,"$50,416.29"
229,Campaign 229,2023-06-02 0:00:00,2023-06-16 0:00:00,TikTok,Gray Ltd,"Unit 4555 Box 7398, DPO AE 23911-7290",owenmelinda@yahoo.com,1728597837,Mark Long,Adults 40-60,UK,16137,9136,1614,210,"$24,679.21",Jesus Rivera,Sales,"$26,191.60"
230,Campaign 230,2023-03-20 0:00:00,2023-03-27 0:00:00,YouTube,"Hernandez, Keller and Berry","Unit 2637 Box 1240, DPO AE 48178",mary90@yahoo.com,(203)315-6167,Kristin Carson,Male 18-40,Europe,75241,517,4189,469,"$18,198.94",Thomas Ryan,Sales,"$83,450.32"
231,Campaign 231,2023-05-18 0:00:00,2023-06-06 0:00:00,Email,Mitchell-Rojas,"Unit 7421 Box 5134, DPO AE 60814",johnathan43@hotmail.com,1-211-588-6353,Benjamin Anthony,Male 60+,Japan,75825,3926,2033,258,"$24,846.22",Thomas Ryan,Sales,"$25,474.81"
232,Campaign 232,2023-01-19 0:00:00,2023-02-16 0:00:00,Facebook,"Ramos, Gomez and Garcia","PSC 8675, Box 2798, APO AA 82949-7770",huntdavid@orr.info,#ERROR!,Eric Harrison,Female 18-40,Australia,60294,9400,3909,839,"$9,326.99",Kyle Serrano,Sales,"$50,731.16"
233,Campaign 233,2023-08-18 0:00:00,2023-08-26 0:00:00,Email,Schneider PLC,"872 Davila Ville Apt. 985, Millerland, GA 42888",beasleycraig@yahoo.com,143.069.3791,Stephen Murphy,Adults 18-40,Europe,53223,9372,4037,443,"$20,408.50",Lauren Riggs,Sales,"$66,230.32"
234,Campaign 234,2023-05-22 0:00:00,2023-06-20 0:00:00,Facebook,"Arnold, Smith and Ward","Unit 2316 Box 4709, DPO AA 90463-5066",michelle93@pineda-small.com,#ERROR!,Karen Bryan,Male 60+,Europe,70305,4081,2324,426,"$7,540.35",Jesus Rivera,Sales,"$58,938.33"
235,Campaign 235,2023-05-04 0:00:00,2023-05-20 0:00:00,YouTube,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Male 40-60,Europe,91895,5610,913,300,"$38,428.43",Thomas Ryan,Sign Up,$0.00
236,Campaign 236,2023-03-10 0:00:00,2023-04-05 0:00:00,Instagram,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Female 60+,USA,41426,6642,2018,598,"$23,287.94",Thomas Ryan,Sales,"$42,134.82"
237,Campaign 237,2023-04-12 0:00:00,2023-04-20 0:00:00,TikTok,Wall-Cruz,"7470 Harris Roads Suite 137, Brookefort, MP 32507",davidponce@turner-copeland.com,539.823.7269x7824,Robert Cruz,Female 18-40,India,1182,8784,4893,631,"$28,795.37",Becky Brown,Sales,"$63,003.12"
238,Campaign 238,2023-11-24 0:00:00,2023-12-19 0:00:00,Instagram,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Adults 18-40,Japan,7341,4379,2347,815,"$32,122.01",Thomas Ryan,Sales,"$23,153.00"
239,Campaign 239,2023-08-08 0:00:00,2023-08-17 0:00:00,Instagram,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 60+,UK,49227,5760,1189,669,"$3,663.51",Lauren Riggs,Sales,"$53,507.50"
240,Campaign 240,2023-10-01 0:00:00,2023-10-07 0:00:00,TikTok,"Arnold, Smith and Ward","Unit 2316 Box 4709, DPO AA 90463-5066",michelle93@pineda-small.com,#ERROR!,Karen Bryan,Teens 13-19,Japan,18306,2551,3790,192,"$40,526.03",Jesus Rivera,Sales,"$31,321.06"
241,Campaign 241,2023-07-02 0:00:00,2023-07-28 0:00:00,Instagram,"Bradley, Jackson and Miller","190 Bradley Mill Suite 940, Craigbury, MO 18832",hansonpatrick@hunt.com,#ERROR!,Dr. David Glass Jr.,Teens 13-19,UK,39779,301,2969,778,"$25,050.42",Melissa Haynes,Sign Up,$0.00
242,Campaign 242,2023-03-24 0:00:00,2023-04-21 0:00:00,YouTube,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Female 18-40,India,49274,7642,864,546,"$45,462.95",Jesus Rivera,Sign Up,$0.00
243,Campaign 243,2023-04-08 0:00:00,2023-04-25 0:00:00,TikTok,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Male 60+,Canada,57194,4740,1387,426,"$22,195.76",Melissa Haynes,Sales,"$79,503.33"
244,Campaign 244,2023-11-25 0:00:00,2023-12-08 0:00:00,Email,"Salinas, Rodriguez and Bowman","04604 Davidson Underpass Apt. 439, Lake Tiffany, DC 35416",gutierrezjames@yahoo.com,1-554-948-6086x0863,Laura Caldwell,Male 18-40,UK,45050,785,3276,955,"$14,095.29",Thomas Ryan,Sales,"$106,615.39"
245,Campaign 245,2023-12-01 0:00:00,2023-12-29 0:00:00,TikTok,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Male 40-60,LATAM,18222,2139,2232,546,"$2,704.04",Wesley Simon,Sales,"$48,056.86"
246,Campaign 246,2023-11-24 0:00:00,2023-12-07 0:00:00,Instagram,Vaughan Group,"PSC 0937, Box 0339, APO AP 98521",baldwinhailey@klein-fitzgerald.com,1-349-058-6674x35806,Ashley Carter,Adults 18-40,India,41919,5266,2162,60,"$48,198.53",Jesus Rivera,Sign Up,$0.00
247,Campaign 247,2023-07-05 0:00:00,2023-07-17 0:00:00,TikTok,"Hernandez, Keller and Berry","Unit 2637 Box 1240, DPO AE 48178",mary90@yahoo.com,(203)315-6167,Kristin Carson,Female 40-60,India,49487,5232,290,503,"$31,751.24",Thomas Ryan,Sales,"$54,182.86"
248,Campaign 248,2023-11-28 0:00:00,2023-12-03 0:00:00,TikTok,"Russell, Wilson and Rogers","27907 Deborah Hill Suite 235, Abigailbury, CO 58408",michael78@yahoo.com,(995)213-6315,Michael Howard,Female 60+,Europe,48676,6957,1404,67,"$48,003.68",Thomas Ryan,Sales,"$51,338.83"
249,Campaign 249,2023-10-25 0:00:00,2023-11-08 0:00:00,Facebook,"Cohen, Williams and Hess","93243 Lee Loop Apt. 832, North Jonathanland, MP 43605-6685",shawn39@gmail.com,314.858.5509x23447,Mr. Nicholas Ramirez,Female 60+,USA,3552,2267,2193,776,"$5,731.82",Jesus Rivera,Sign Up,$0.00
250,Campaign 250,2023-07-02 0:00:00,2023-07-10 0:00:00,YouTube,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Female 18-40,USA,6999,5059,1520,870,"$15,337.51",Wesley Simon,Sales,"$30,077.82"
251,Campaign 251,2023-05-23 0:00:00,2023-05-24 0:00:00,Facebook,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 40-60,Japan,50597,6044,4848,829,"$47,775.13",Kyle Serrano,Sales,"$56,296.21"
252,Campaign 252,2023-02-03 0:00:00,2023-02-15 0:00:00,Email,Jones LLC,"89103 Jennings Cape Suite 740, South Dianafort, FL 68504",norrisjames@pearson-burton.biz,(363)957-0616x7906,Danielle Hernandez,Female 18-40,India,44685,7146,2472,195,"$34,858.39",Aaron Faulkner,Sign Up,$0.00
253,Campaign 253,2023-03-30 0:00:00,2023-04-23 0:00:00,YouTube,Harmon Inc,"3532 Carla Spurs Suite 631, East Susanside, VA 63110-6508",steven77@miller.com,1-293-472-4144x72086,Heidi Black,Teens 13-19,Canada,69497,4449,2161,661,"$33,824.73",Kyle Serrano,Sales,"$46,755.01"
254,Campaign 254,2023-12-28 0:00:00,2024-01-08 0:00:00,YouTube,Melton-Smith,"03793 Jacobs Branch, West Max, MA 54633-3659",mercertimothy@huff.com,(729)575-8232,Patrick Abbott,Female 40-60,UK,42913,8735,2052,156,"$43,875.02",Lauren Riggs,Sales,"$29,269.43"
255,Campaign 255,2023-11-29 0:00:00,2023-12-17 0:00:00,Email,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Adults 18-40,LATAM,92432,3803,2670,899,"$2,443.89",Lauren Riggs,Sales,"$71,667.20"
256,Campaign 256,2023-02-26 0:00:00,2023-03-21 0:00:00,TikTok,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Female 18-40,USA,29162,3113,405,884,"$42,149.82",Melissa Haynes,Sales,"$54,315.81"
257,Campaign 257,2023-06-19 0:00:00,2023-07-08 0:00:00,Facebook,Hughes-Sullivan,"5874 Guerra Courts Suite 368, South Codyhaven, OR 93465",williamsnathaniel@yahoo.com,415-860-7532,Roy Obrien,Adults 18-40,UK,70893,1460,108,918,"$12,450.96",Brandon Townsend Jr.,Sign Up,$0.00
258,Campaign 258,2023-12-08 0:00:00,2023-12-22 0:00:00,Facebook,"Rowe, Morse and Morgan","247 Young Spur, North Jacobview, WI 24275",hstafford@yahoo.com,(934)411-1363,Destiny Atkins,Adults 40-60,Canada,10409,2284,698,578,"$18,122.36",Becky Brown,Sales,"$30,568.35"
259,Campaign 259,2023-11-25 0:00:00,2023-12-14 0:00:00,TikTok,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Seniors 60+,LATAM,64277,2793,2892,211,"$25,246.47",Lauren Riggs,Sign Up,$0.00
260,Campaign 260,2023-03-19 0:00:00,2023-04-05 0:00:00,TikTok,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Male 60+,USA,52085,5853,2313,83,"$9,598.66",Brandon Townsend Jr.,Sales,"$42,383.64"
261,Campaign 261,2023-02-17 0:00:00,2023-02-21 0:00:00,Email,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Male 18-40,Europe,11318,7532,419,227,"$46,395.27",Brandon Townsend Jr.,Sales,"$72,293.18"
262,Campaign 262,2023-01-26 0:00:00,2023-02-04 0:00:00,YouTube,Weaver-Hoover,"050 Andrews Green, North Renee, VT 22014-1131",jacqueline32@dominguez.biz,574-189-4981x166,Kathy Mahoney,Female 40-60,Australia,38312,9046,1095,383,"$19,841.55",Brandon Townsend Jr.,Sign Up,$0.00
263,Campaign 263,2023-05-18 0:00:00,2023-06-05 0:00:00,Email,Riley PLC,"699 Anderson Glen, Parkerside, AZ 15616-1374",jennifer09@york.org,653.689.1510,Gary Reed,Seniors 60+,Europe,29780,7666,1319,288,"$19,213.68",Kyle Serrano,Sales,"$73,372.25"
264,Campaign 264,2023-10-06 0:00:00,2023-11-02 0:00:00,Facebook,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Adults 18-40,Canada,16680,1429,4901,785,"$25,834.85",Wesley Simon,Sign Up,$0.00
265,Campaign 265,2023-10-02 0:00:00,2023-10-15 0:00:00,YouTube,Pearson-Shah,"5117 Suzanne Branch, Barnesmouth, VA 53846",anthony54@perez.com,644.194.6281,Shannon Martinez,Male 18-40,Japan,78790,3047,4540,154,"$35,104.71",Jesus Rivera,Sign Up,$0.00
266,Campaign 266,2023-12-15 0:00:00,2024-01-01 0:00:00,TikTok,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Teens 13-19,Europe,47138,5670,753,209,"$8,919.17",Wesley Simon,Sales,"$74,530.88"
267,Campaign 267,2023-06-11 0:00:00,2023-06-12 0:00:00,Instagram,"Jones, Miranda and Martin","45011 Marc Roads Apt. 548, Johnsonbury, NJ 40892",kristenhoward@yahoo.com,#ERROR!,Christine Barnes,Male 40-60,USA,46229,388,3594,65,"$9,698.99",Thomas Ryan,Sales,"$74,181.57"
268,Campaign 268,2023-12-24 0:00:00,2024-01-04 0:00:00,Facebook,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 18-40,Japan,55356,9752,3522,9,"$41,521.94",Lauren Riggs,Sign Up,$0.00
269,Campaign 269,2023-01-18 0:00:00,2023-01-28 0:00:00,YouTube,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Female 18-40,USA,49440,7366,4549,115,"$37,006.86",Thomas Ryan,Sales,"$61,245.40"
270,Campaign 270,2023-06-22 0:00:00,2023-07-11 0:00:00,Instagram,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Seniors 60+,Europe,54282,8645,4654,945,"$47,381.95",Brandon Townsend Jr.,Sales,"$66,880.46"
271,Campaign 271,2023-06-02 0:00:00,2023-06-30 0:00:00,TikTok,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Adults 40-60,Japan,60243,1886,1459,479,"$6,350.77",Wesley Simon,Sign Up,$0.00
272,Campaign 272,2023-05-22 0:00:00,2023-06-11 0:00:00,Facebook,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 18-40,Japan,44967,7515,4479,576,"$49,165.84",Kyle Serrano,Sales,"$70,483.49"
273,Campaign 273,2023-07-28 0:00:00,2023-08-08 0:00:00,TikTok,Jackson Inc,"96299 Miller Spur, Jensenfurt, CA 97794-3156",jeremy09@yahoo.com,557-670-7467x238,Karen Rivers,Female 60+,India,40872,3804,4711,553,"$18,294.51",Thomas Ryan,Sign Up,$0.00
274,Campaign 274,2023-04-19 0:00:00,2023-05-14 0:00:00,YouTube,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Male 18-40,India,19926,1565,1665,502,"$33,168.43",Brandon Townsend Jr.,Sign Up,$0.00
275,Campaign 275,2023-01-11 0:00:00,2023-02-02 0:00:00,TikTok,"Ramos, Gomez and Garcia","PSC 8675, Box 2798, APO AA 82949-7770",huntdavid@orr.info,#ERROR!,Eric Harrison,Male 60+,India,9413,601,433,393,"$13,779.68",Kyle Serrano,Sales,"$45,385.97"
276,Campaign 276,2023-04-29 0:00:00,2023-05-12 0:00:00,Instagram,Lewis-Martinez,"37059 Bates Prairie Suite 432, Port Robertmouth, MN 28374",joshua06@king.com,363.836.3647x5385,Angela Anderson,Female 18-40,Europe,86592,176,622,133,"$42,298.12",Aaron Faulkner,Sales,"$47,465.61"
